txn_id,txn_datetime,month,user_id,merchant_id,merchant_name,category,payment_method,amount_usd,cashback_usd,status
33,2025-01-02 08:40:00,2025-01,46,22,Merchant_22,Pharmacy,debit_card,10.56,0.11,success
244,2025-01-02 09:07:00,2025-01,327,11,Merchant_11,Rides,wallet_balance,2.76,0.03,success
599,2025-01-02 09:44:00,2025-01,736,3,Merchant_03,Retail,debit_card,27.94,0.28,success
68,2025-01-02 11:00:00,2025-01,103,22,Merchant_22,Pharmacy,debit_card,21.87,0.22,success
583,2025-01-02 11:47:00,2025-01,722,2,Merchant_02,Grocery,wallet_balance,13.08,0.13,success
25,2025-01-02 12:09:00,2025-01,20,10,Merchant_10,Grocery,wallet_balance,10.78,0.43,success
92,2025-01-02 12:16:00,2025-01,139,9,Merchant_09,FastFood,wallet_balance,2.45,0.02,success
548,2025-01-02 14:31:00,2025-01,661,19,Merchant_19,Grocery,debit_card,1.1,0.01,success
38,2025-01-02 15:44:00,2025-01,50,16,Merchant_16,Grocery,bank_transfer,12.38,0.5,success
646,2025-01-02 18:48:00,2025-01,794,7,Merchant_07,Rides,debit_card,1.89,0.02,success
486,2025-01-02 19:27:00,2025-01,599,2,Merchant_02,Grocery,bank_transfer,12.43,0.12,success
110,2025-01-02 19:30:00,2025-01,168,21,Merchant_21,Grocery,debit_card,40.5,0.4,success
478,2025-01-02 19:57:00,2025-01,595,7,Merchant_07,Rides,bank_transfer,5.71,0.06,success
300,2025-01-02 22:16:00,2025-01,365,4,Merchant_04,Pharmacy,credit_card,17.86,0.18,success
36,2025-01-02 22:48:00,2025-01,48,23,Merchant_23,Retail,wallet_balance,19.59,0.2,success
472,2025-01-03 00:12:00,2025-01,593,15,Merchant_15,Grocery,credit_card,11.69,0.12,success
310,2025-01-03 01:54:00,2025-01,381,21,Merchant_21,Grocery,wallet_balance,29.42,0.29,success
539,2025-01-03 03:57:00,2025-01,650,24,Merchant_24,Grocery,wallet_balance,20.92,0.21,success
18,2025-01-03 04:14:00,2025-01,18,12,Merchant_12,Rides,credit_card,4.14,0.04,success
494,2025-01-03 04:29:00,2025-01,606,19,Merchant_19,Grocery,debit_card,6.6,0.07,success
380,2025-01-03 09:12:00,2025-01,455,22,Merchant_22,Pharmacy,wallet_balance,6.85,0.07,success
155,2025-01-03 09:33:00,2025-01,233,9,Merchant_09,FastFood,wallet_balance,2.27,0.02,success
626,2025-01-03 10:33:00,2025-01,760,10,Merchant_10,Grocery,wallet_balance,13.57,0.14,success
93,2025-01-03 13:36:00,2025-01,140,7,Merchant_07,Rides,wallet_balance,8.51,0.09,success
179,2025-01-03 14:28:00,2025-01,248,6,Merchant_06,FastFood,credit_card,8.44,0.08,success
122,2025-01-03 14:45:00,2025-01,173,7,Merchant_07,Rides,bank_transfer,1.91,0.02,success
396,2025-01-03 14:55:00,2025-01,467,25,Merchant_25,Rides,wallet_balance,2.98,0.03,success
226,2025-01-03 15:11:00,2025-01,307,1,Merchant_01,Pharmacy,credit_card,6.35,0.06,success
550,2025-01-03 15:35:00,2025-01,672,4,Merchant_04,Pharmacy,wallet_balance,15.29,0.15,success
71,2025-01-03 16:26:00,2025-01,103,6,Merchant_06,FastFood,credit_card,0.89,0.04,success
259,2025-01-03 17:07:00,2025-01,340,4,Merchant_04,Pharmacy,wallet_balance,31.04,0.31,success
572,2025-01-03 17:32:00,2025-01,703,18,Merchant_18,Rides,credit_card,6.13,0.06,success
497,2025-01-03 19:05:00,2025-01,610,4,Merchant_04,Pharmacy,debit_card,26.4,0.26,success
429,2025-01-03 20:56:00,2025-01,517,1,Merchant_01,Pharmacy,credit_card,6.81,0.07,success
404,2025-01-04 04:07:00,2025-01,478,6,Merchant_06,FastFood,wallet_balance,9.97,0.1,success
447,2025-01-04 04:15:00,2025-01,552,12,Merchant_12,Rides,credit_card,0.75,0.01,success
184,2025-01-04 04:34:00,2025-01,254,13,Merchant_13,Pharmacy,wallet_balance,28.95,0.29,success
366,2025-01-04 04:43:00,2025-01,429,17,Merchant_17,FastFood,wallet_balance,3.72,0.04,success
337,2025-01-04 05:55:00,2025-01,401,12,Merchant_12,Rides,wallet_balance,3.9,0.04,success
617,2025-01-04 06:20:00,2025-01,757,14,Merchant_14,Retail,debit_card,1.64,0.02,success
475,2025-01-04 06:31:00,2025-01,594,21,Merchant_21,Grocery,debit_card,7.28,0.07,success
367,2025-01-04 08:18:00,2025-01,429,2,Merchant_02,Grocery,credit_card,6.31,0.06,success
316,2025-01-04 08:37:00,2025-01,385,11,Merchant_11,Rides,debit_card,11.45,0.11,success
28,2025-01-04 08:57:00,2025-01,27,23,Merchant_23,Retail,wallet_balance,27.92,0.28,success
234,2025-01-04 09:31:00,2025-01,310,3,Merchant_03,Retail,wallet_balance,31.64,0.32,success
430,2025-01-04 10:00:00,2025-01,517,8,Merchant_08,Grocery,wallet_balance,24.59,0.25,success
94,2025-01-04 10:36:00,2025-01,140,14,Merchant_14,Retail,debit_card,12.57,0.13,success
90,2025-01-04 10:47:00,2025-01,129,10,Merchant_10,Grocery,credit_card,27.64,0.28,success
133,2025-01-04 16:05:00,2025-01,191,4,Merchant_04,Pharmacy,credit_card,36.25,0.36,success
355,2025-01-04 16:16:00,2025-01,420,1,Merchant_01,Pharmacy,credit_card,36.66,0.37,success
480,2025-01-04 19:55:00,2025-01,597,15,Merchant_15,Grocery,wallet_balance,3.95,0.04,success
420,2025-01-04 20:09:00,2025-01,510,19,Merchant_19,Grocery,wallet_balance,17.69,0.71,success
241,2025-01-04 20:32:00,2025-01,316,16,Merchant_16,Grocery,wallet_balance,6.59,0.07,success
484,2025-01-04 20:45:00,2025-01,598,17,Merchant_17,FastFood,wallet_balance,5.48,0.05,success
299,2025-01-04 20:53:00,2025-01,362,18,Merchant_18,Rides,wallet_balance,4.4,0.04,success
558,2025-01-04 21:31:00,2025-01,686,14,Merchant_14,Retail,credit_card,19.73,0.2,success
365,2025-01-04 22:10:00,2025-01,426,8,Merchant_08,Grocery,wallet_balance,12.69,0.51,success
605,2025-01-05 00:36:00,2025-01,748,3,Merchant_03,Retail,debit_card,27.61,0.28,failed
543,2025-01-05 01:00:00,2025-01,651,4,Merchant_04,Pharmacy,debit_card,10.65,0.11,success
328,2025-01-05 02:50:00,2025-01,394,9,Merchant_09,FastFood,wallet_balance,3.83,0.04,success
628,2025-01-05 03:53:00,2025-01,762,3,Merchant_03,Retail,bank_transfer,45.64,0.46,success
265,2025-01-05 04:09:00,2025-01,344,12,Merchant_12,Rides,wallet_balance,2.88,0.03,success
385,2025-01-05 07:41:00,2025-01,456,19,Merchant_19,Grocery,wallet_balance,8.87,0.09,success
233,2025-01-05 07:46:00,2025-01,308,20,Merchant_20,Rides,debit_card,0.75,0.01,success
371,2025-01-05 08:57:00,2025-01,434,15,Merchant_15,Grocery,wallet_balance,2.95,0.03,success
239,2025-01-05 09:05:00,2025-01,313,3,Merchant_03,Retail,credit_card,32.86,0.33,success
331,2025-01-05 10:51:00,2025-01,397,4,Merchant_04,Pharmacy,wallet_balance,3.09,0.03,success
165,2025-01-05 11:56:00,2025-01,236,4,Merchant_04,Pharmacy,credit_card,18.5,0.18,success
411,2025-01-05 13:28:00,2025-01,495,3,Merchant_03,Retail,wallet_balance,27.7,0.28,success
102,2025-01-05 14:14:00,2025-01,153,4,Merchant_04,Pharmacy,wallet_balance,19.08,0.19,success
324,2025-01-05 15:59:00,2025-01,390,14,Merchant_14,Retail,credit_card,3.22,0.03,success
151,2025-01-05 20:08:00,2025-01,229,9,Merchant_09,FastFood,credit_card,9.49,0.09,success
509,2025-01-05 23:54:00,2025-01,616,15,Merchant_15,Grocery,wallet_balance,6.76,0.07,success
349,2025-01-06 00:35:00,2025-01,419,15,Merchant_15,Grocery,wallet_balance,3.27,0.03,success
245,2025-01-06 02:27:00,2025-01,328,21,Merchant_21,Grocery,credit_card,33.28,0.33,success
526,2025-01-06 03:55:00,2025-01,629,13,Merchant_13,Pharmacy,wallet_balance,26.52,0.27,success
67,2025-01-06 04:40:00,2025-01,99,22,Merchant_22,Pharmacy,wallet_balance,10.86,0.11,success
175,2025-01-06 04:45:00,2025-01,246,15,Merchant_15,Grocery,debit_card,3.91,0.04,success
24,2025-01-06 06:37:00,2025-01,20,13,Merchant_13,Pharmacy,bank_transfer,5.12,0.05,success
134,2025-01-06 07:54:00,2025-01,191,18,Merchant_18,Rides,credit_card,5.48,0.05,success
308,2025-01-06 09:14:00,2025-01,373,8,Merchant_08,Grocery,wallet_balance,4.79,0.19,success
238,2025-01-06 13:22:00,2025-01,313,20,Merchant_20,Rides,credit_card,3.07,0.03,success
434,2025-01-06 14:15:00,2025-01,521,17,Merchant_17,FastFood,wallet_balance,10.39,0.1,success
517,2025-01-06 14:21:00,2025-01,623,7,Merchant_07,Rides,debit_card,3.72,0.04,success
219,2025-01-06 15:12:00,2025-01,300,13,Merchant_13,Pharmacy,debit_card,2.61,0.03,success
612,2025-01-06 16:09:00,2025-01,756,18,Merchant_18,Rides,wallet_balance,1.61,0.02,success
391,2025-01-06 18:27:00,2025-01,464,3,Merchant_03,Retail,credit_card,34.4,0.34,success
274,2025-01-06 19:38:00,2025-01,348,11,Merchant_11,Rides,wallet_balance,2.19,0.02,success
545,2025-01-06 19:59:00,2025-01,651,1,Merchant_01,Pharmacy,wallet_balance,19.42,0.19,success
27,2025-01-06 22:36:00,2025-01,27,20,Merchant_20,Rides,wallet_balance,3.29,0.03,success
79,2025-01-07 00:42:00,2025-01,124,11,Merchant_11,Rides,bank_transfer,6.25,0.06,success
22,2025-01-07 02:07:00,2025-01,19,3,Merchant_03,Retail,wallet_balance,18.5,0.18,success
252,2025-01-07 03:28:00,2025-01,331,16,Merchant_16,Grocery,wallet_balance,6.78,0.07,success
422,2025-01-07 05:57:00,2025-01,510,23,Merchant_23,Retail,credit_card,18.9,0.19,success
645,2025-01-07 07:03:00,2025-01,792,15,Merchant_15,Grocery,wallet_balance,24.18,0.24,success
12,2025-01-07 07:41:00,2025-01,14,15,Merchant_15,Grocery,credit_card,31.13,0.31,success
417,2025-01-07 09:16:00,2025-01,509,23,Merchant_23,Retail,bank_transfer,22.27,0.22,success
512,2025-01-07 09:39:00,2025-01,619,19,Merchant_19,Grocery,bank_transfer,4.58,0.05,success
392,2025-01-07 10:25:00,2025-01,464,16,Merchant_16,Grocery,debit_card,18.39,0.74,success
301,2025-01-07 16:15:00,2025-01,365,13,Merchant_13,Pharmacy,debit_card,12.94,0.13,success
643,2025-01-07 17:17:00,2025-01,792,8,Merchant_08,Grocery,wallet_balance,1.67,0.07,success
619,2025-01-07 18:26:00,2025-01,757,7,Merchant_07,Rides,debit_card,5.41,0.05,success
231,2025-01-07 18:45:00,2025-01,308,8,Merchant_08,Grocery,bank_transfer,16.41,0.16,success
261,2025-01-07 18:52:00,2025-01,342,2,Merchant_02,Grocery,debit_card,10.11,0.1,success
592,2025-01-07 20:27:00,2025-01,729,22,Merchant_22,Pharmacy,debit_card,67.31,0.67,success
257,2025-01-07 20:50:00,2025-01,335,11,Merchant_11,Rides,wallet_balance,6.77,0.07,success
253,2025-01-07 22:08:00,2025-01,333,16,Merchant_16,Grocery,debit_card,6.9,0.07,success
531,2025-01-07 22:19:00,2025-01,630,14,Merchant_14,Retail,credit_card,31.91,0.32,success
332,2025-01-07 23:53:00,2025-01,398,18,Merchant_18,Rides,wallet_balance,5.12,0.05,reversed
394,2025-01-08 01:03:00,2025-01,467,23,Merchant_23,Retail,wallet_balance,41.41,0.41,failed
46,2025-01-08 02:07:00,2025-01,60,3,Merchant_03,Retail,debit_card,40.86,0.41,success
17,2025-01-08 02:13:00,2025-01,16,3,Merchant_03,Retail,wallet_balance,18.64,0.19,success
607,2025-01-08 02:25:00,2025-01,750,2,Merchant_02,Grocery,debit_card,1.07,0.04,success
327,2025-01-08 03:50:00,2025-01,390,2,Merchant_02,Grocery,wallet_balance,1.74,0.02,success
272,2025-01-08 04:18:00,2025-01,347,14,Merchant_14,Retail,wallet_balance,42.75,0.43,success
208,2025-01-08 04:25:00,2025-01,276,23,Merchant_23,Retail,wallet_balance,2.81,0.03,success
250,2025-01-08 04:30:00,2025-01,331,1,Merchant_01,Pharmacy,debit_card,19.71,0.2,success
451,2025-01-08 04:38:00,2025-01,554,3,Merchant_03,Retail,wallet_balance,38.95,0.39,success
495,2025-01-08 05:06:00,2025-01,606,21,Merchant_21,Grocery,wallet_balance,7.52,0.08,success
137,2025-01-08 06:02:00,2025-01,199,21,Merchant_21,Grocery,credit_card,5.07,0.05,success
384,2025-01-08 08:10:00,2025-01,456,25,Merchant_25,Rides,bank_transfer,2.42,0.02,success
640,2025-01-08 08:58:00,2025-01,787,5,Merchant_05,Grocery,wallet_balance,10.42,0.1,success
139,2025-01-08 09:06:00,2025-01,201,16,Merchant_16,Grocery,wallet_balance,8.05,0.08,success
206,2025-01-08 10:12:00,2025-01,274,22,Merchant_22,Pharmacy,debit_card,21.43,0.21,success
419,2025-01-08 11:00:00,2025-01,509,17,Merchant_17,FastFood,debit_card,7.99,0.08,success
551,2025-01-08 11:10:00,2025-01,674,6,Merchant_06,FastFood,wallet_balance,11.69,0.12,failed
533,2025-01-08 13:29:00,2025-01,643,18,Merchant_18,Rides,debit_card,3.02,0.03,success
222,2025-01-08 15:17:00,2025-01,302,25,Merchant_25,Rides,credit_card,3.82,0.04,success
81,2025-01-08 18:25:00,2025-01,125,14,Merchant_14,Retail,wallet_balance,10.05,0.1,success
204,2025-01-08 21:09:00,2025-01,274,24,Merchant_24,Grocery,wallet_balance,5.14,0.21,success
342,2025-01-08 22:10:00,2025-01,412,10,Merchant_10,Grocery,wallet_balance,6.38,0.06,success
196,2025-01-08 22:13:00,2025-01,260,17,Merchant_17,FastFood,wallet_balance,5.61,0.06,success
522,2025-01-09 00:39:00,2025-01,629,16,Merchant_16,Grocery,wallet_balance,9.49,0.09,success
390,2025-01-09 02:55:00,2025-01,460,18,Merchant_18,Rides,wallet_balance,0.75,0.01,success
170,2025-01-09 04:03:00,2025-01,237,5,Merchant_05,Grocery,debit_card,12.05,0.12,success
333,2025-01-09 06:47:00,2025-01,398,13,Merchant_13,Pharmacy,wallet_balance,5.68,0.06,success
232,2025-01-09 06:59:00,2025-01,308,19,Merchant_19,Grocery,debit_card,2.41,0.02,reversed
452,2025-01-09 07:58:00,2025-01,559,9,Merchant_09,FastFood,credit_card,1.88,0.02,success
217,2025-01-09 09:40:00,2025-01,298,12,Merchant_12,Rides,debit_card,3.94,0.04,success
205,2025-01-09 10:38:00,2025-01,274,18,Merchant_18,Rides,wallet_balance,0.98,0.01,success
652,2025-01-09 10:58:00,2025-01,795,8,Merchant_08,Grocery,wallet_balance,20.21,0.2,success
315,2025-01-09 12:14:00,2025-01,385,24,Merchant_24,Grocery,wallet_balance,4.16,0.04,success
270,2025-01-09 13:17:00,2025-01,347,23,Merchant_23,Retail,wallet_balance,17.82,0.18,success
557,2025-01-09 14:32:00,2025-01,686,1,Merchant_01,Pharmacy,wallet_balance,9.56,0.1,success
524,2025-01-09 15:38:00,2025-01,629,2,Merchant_02,Grocery,wallet_balance,3.89,0.04,success
266,2025-01-09 20:14:00,2025-01,344,5,Merchant_05,Grocery,bank_transfer,12.6,0.13,success
463,2025-01-09 21:37:00,2025-01,569,23,Merchant_23,Retail,wallet_balance,19.58,0.2,success
61,2025-01-09 21:40:00,2025-01,96,11,Merchant_11,Rides,debit_card,3.57,0.04,success
621,2025-01-09 22:39:00,2025-01,758,10,Merchant_10,Grocery,credit_card,11.8,0.12,success
629,2025-01-09 22:46:00,2025-01,763,21,Merchant_21,Grocery,wallet_balance,21.15,0.21,success
500,2025-01-09 23:26:00,2025-01,614,3,Merchant_03,Retail,wallet_balance,32.19,0.32,success
570,2025-01-10 02:20:00,2025-01,703,3,Merchant_03,Retail,debit_card,19.03,0.19,success
9,2025-01-10 03:06:00,2025-01,12,7,Merchant_07,Rides,bank_transfer,5.99,0.06,success
200,2025-01-10 04:32:00,2025-01,268,15,Merchant_15,Grocery,credit_card,8.65,0.09,success
610,2025-01-10 04:37:00,2025-01,751,22,Merchant_22,Pharmacy,wallet_balance,4.11,0.04,success
624,2025-01-10 05:20:00,2025-01,760,21,Merchant_21,Grocery,wallet_balance,5.46,0.05,success
30,2025-01-10 05:23:00,2025-01,29,24,Merchant_24,Grocery,bank_transfer,6.55,0.07,success
467,2025-01-10 05:44:00,2025-01,579,19,Merchant_19,Grocery,wallet_balance,5.26,0.05,success
555,2025-01-10 07:13:00,2025-01,683,3,Merchant_03,Retail,debit_card,43.81,0.44,success
109,2025-01-10 07:42:00,2025-01,159,9,Merchant_09,FastFood,wallet_balance,3.84,0.04,success
470,2025-01-10 10:09:00,2025-01,591,18,Merchant_18,Rides,wallet_balance,17.16,0.17,success
440,2025-01-10 11:27:00,2025-01,539,7,Merchant_07,Rides,wallet_balance,3.23,0.03,success
397,2025-01-10 11:48:00,2025-01,472,6,Merchant_06,FastFood,wallet_balance,1.54,0.02,success
456,2025-01-10 13:09:00,2025-01,564,8,Merchant_08,Grocery,credit_card,5.69,0.06,success
376,2025-01-10 13:58:00,2025-01,436,24,Merchant_24,Grocery,wallet_balance,35.08,0.35,success
493,2025-01-10 14:33:00,2025-01,606,4,Merchant_04,Pharmacy,wallet_balance,1.65,0.02,success
247,2025-01-10 17:31:00,2025-01,328,24,Merchant_24,Grocery,wallet_balance,2.53,0.03,success
540,2025-01-10 17:36:00,2025-01,650,4,Merchant_04,Pharmacy,credit_card,27.24,0.27,success
574,2025-01-10 17:53:00,2025-01,710,3,Merchant_03,Retail,wallet_balance,9.46,0.09,success
615,2025-01-10 18:46:00,2025-01,756,17,Merchant_17,FastFood,debit_card,8.68,0.35,success
283,2025-01-10 21:06:00,2025-01,352,4,Merchant_04,Pharmacy,credit_card,11.01,0.11,success
125,2025-01-10 21:36:00,2025-01,174,6,Merchant_06,FastFood,debit_card,5.17,0.05,success
542,2025-01-10 23:05:00,2025-01,650,10,Merchant_10,Grocery,wallet_balance,9.46,0.09,success
148,2025-01-10 23:47:00,2025-01,229,25,Merchant_25,Rides,wallet_balance,1.99,0.02,success
276,2025-01-11 00:07:00,2025-01,348,2,Merchant_02,Grocery,wallet_balance,4.94,0.05,success
525,2025-01-11 00:19:00,2025-01,629,22,Merchant_22,Pharmacy,wallet_balance,8.58,0.09,success
508,2025-01-11 00:44:00,2025-01,616,19,Merchant_19,Grocery,wallet_balance,7.54,0.08,success
269,2025-01-11 03:06:00,2025-01,344,16,Merchant_16,Grocery,debit_card,8.24,0.08,success
381,2025-01-11 03:25:00,2025-01,455,25,Merchant_25,Rides,wallet_balance,1.94,0.02,success
362,2025-01-11 04:38:00,2025-01,426,21,Merchant_21,Grocery,debit_card,16.0,0.16,success
618,2025-01-11 06:21:00,2025-01,757,19,Merchant_19,Grocery,credit_card,7.17,0.07,success
297,2025-01-11 07:39:00,2025-01,358,22,Merchant_22,Pharmacy,wallet_balance,16.71,0.17,success
353,2025-01-11 08:12:00,2025-01,419,19,Merchant_19,Grocery,bank_transfer,5.68,0.06,success
62,2025-01-11 13:26:00,2025-01,96,19,Merchant_19,Grocery,debit_card,11.61,0.12,success
64,2025-01-11 13:53:00,2025-01,96,18,Merchant_18,Rides,debit_card,1.61,0.02,success
581,2025-01-11 15:32:00,2025-01,720,10,Merchant_10,Grocery,credit_card,16.41,0.16,success
409,2025-01-11 17:04:00,2025-01,483,10,Merchant_10,Grocery,wallet_balance,6.46,0.26,success
130,2025-01-11 17:18:00,2025-01,180,2,Merchant_02,Grocery,credit_card,3.48,0.14,success
72,2025-01-11 18:13:00,2025-01,103,10,Merchant_10,Grocery,credit_card,7.66,0.31,success
465,2025-01-11 19:37:00,2025-01,575,24,Merchant_24,Grocery,debit_card,7.93,0.08,success
444,2025-01-11 20:13:00,2025-01,544,16,Merchant_16,Grocery,wallet_balance,11.84,0.12,success
488,2025-01-11 22:08:00,2025-01,599,15,Merchant_15,Grocery,wallet_balance,8.88,0.09,success
279,2025-01-11 23:10:00,2025-01,349,23,Merchant_23,Retail,wallet_balance,0.75,0.01,success
436,2025-01-11 23:12:00,2025-01,532,25,Merchant_25,Rides,debit_card,0.75,0.01,success
383,2025-01-12 00:41:00,2025-01,456,10,Merchant_10,Grocery,debit_card,14.03,0.14,success
296,2025-01-12 02:35:00,2025-01,357,2,Merchant_02,Grocery,credit_card,3.16,0.03,success
428,2025-01-12 05:09:00,2025-01,517,7,Merchant_07,Rides,wallet_balance,5.19,0.05,success
243,2025-01-12 07:00:00,2025-01,327,14,Merchant_14,Retail,debit_card,6.78,0.07,success
220,2025-01-12 07:19:00,2025-01,302,13,Merchant_13,Pharmacy,wallet_balance,18.83,0.19,success
292,2025-01-12 09:15:00,2025-01,356,18,Merchant_18,Rides,debit_card,5.97,0.06,success
224,2025-01-12 11:26:00,2025-01,306,21,Merchant_21,Grocery,wallet_balance,15.48,0.15,success
288,2025-01-12 11:27:00,2025-01,354,10,Merchant_10,Grocery,wallet_balance,16.59,0.17,success
561,2025-01-12 11:59:00,2025-01,696,15,Merchant_15,Grocery,debit_card,1.85,0.02,success
236,2025-01-12 12:07:00,2025-01,310,12,Merchant_12,Rides,wallet_balance,3.41,0.03,success
387,2025-01-12 12:14:00,2025-01,458,7,Merchant_07,Rides,wallet_balance,5.76,0.06,success
407,2025-01-12 12:16:00,2025-01,483,3,Merchant_03,Retail,credit_card,33.12,0.33,success
77,2025-01-12 12:56:00,2025-01,112,9,Merchant_09,FastFood,wallet_balance,18.58,0.19,success
100,2025-01-12 13:34:00,2025-01,151,14,Merchant_14,Retail,wallet_balance,24.47,0.24,success
11,2025-01-12 14:35:00,2025-01,14,19,Merchant_19,Grocery,debit_card,3.27,0.03,success
117,2025-01-12 16:35:00,2025-01,170,3,Merchant_03,Retail,bank_transfer,28.38,0.28,success
375,2025-01-12 18:12:00,2025-01,436,13,Merchant_13,Pharmacy,wallet_balance,12.49,0.12,success
602,2025-01-12 18:19:00,2025-01,742,21,Merchant_21,Grocery,credit_card,4.59,0.05,success
173,2025-01-12 19:19:00,2025-01,240,22,Merchant_22,Pharmacy,credit_card,7.44,0.07,success
372,2025-01-12 19:26:00,2025-01,434,16,Merchant_16,Grocery,wallet_balance,30.95,0.31,success
441,2025-01-12 21:07:00,2025-01,539,14,Merchant_14,Retail,debit_card,11.96,0.12,success
377,2025-01-12 21:18:00,2025-01,437,14,Merchant_14,Retail,wallet_balance,23.11,0.23,success
568,2025-01-12 21:38:00,2025-01,702,1,Merchant_01,Pharmacy,bank_transfer,5.25,0.05,success
13,2025-01-12 21:54:00,2025-01,14,22,Merchant_22,Pharmacy,wallet_balance,5.4,0.05,success
502,2025-01-12 23:12:00,2025-01,614,6,Merchant_06,FastFood,wallet_balance,4.07,0.04,success
432,2025-01-13 00:28:00,2025-01,519,8,Merchant_08,Grocery,credit_card,20.77,0.21,success
554,2025-01-13 00:51:00,2025-01,683,9,Merchant_09,FastFood,credit_card,7.86,0.08,success
115,2025-01-13 01:36:00,2025-01,169,17,Merchant_17,FastFood,wallet_balance,1.12,0.01,reversed
614,2025-01-13 01:53:00,2025-01,756,18,Merchant_18,Rides,debit_card,3.54,0.04,success
23,2025-01-13 02:38:00,2025-01,20,2,Merchant_02,Grocery,credit_card,5.43,0.05,success
604,2025-01-13 03:32:00,2025-01,748,24,Merchant_24,Grocery,debit_card,23.66,0.95,success
16,2025-01-13 03:54:00,2025-01,16,17,Merchant_17,FastFood,wallet_balance,12.16,0.12,success
634,2025-01-13 04:38:00,2025-01,770,21,Merchant_21,Grocery,credit_card,9.37,0.37,success
268,2025-01-13 05:20:00,2025-01,344,22,Merchant_22,Pharmacy,credit_card,31.71,0.32,success
211,2025-01-13 05:38:00,2025-01,285,21,Merchant_21,Grocery,debit_card,1.27,0.01,success
284,2025-01-13 06:55:00,2025-01,352,20,Merchant_20,Rides,debit_card,5.17,0.05,success
356,2025-01-13 07:50:00,2025-01,421,3,Merchant_03,Retail,wallet_balance,49.05,0.49,success
290,2025-01-13 07:55:00,2025-01,354,15,Merchant_15,Grocery,credit_card,14.82,0.15,success
499,2025-01-13 08:34:00,2025-01,610,5,Merchant_05,Grocery,wallet_balance,1.9,0.02,success
311,2025-01-13 12:28:00,2025-01,381,3,Merchant_03,Retail,debit_card,9.0,0.09,success
